Names,Units,Type,Per Component,Per Section,Sensitivity,Description,Human Name
SENS_METHOD,,string,0,0,0,Method used for computation of sensitivities; algorithmic differentiation or finite of order 1 ? 4differences,Sensitivity Method
SENS_NAME,,string,0,0,0,Name of the parameter,Sensitivity Name
SENS_COMP,,int,0,0,0,Component index; only for parameters defined for each component (-1 otherwise),Sensitivity Component
SENS_SECTION,,int,0,0,0,Section index; only for inlet parameters (-1 otherwise),Sensitivity Section
SENS_ABSTOL,,double,0,0,0,Absolute tolerance used in the computation of the sensitivities. Rule of thumb: ABSTOL / PARAM_VALUE,Sensitivity Absolute Tolerance
SENS_FD_DELTA,,double,0,0,0,Relative disturbance p in finite difference sensitivity computations,Sensitivity Finite Difference
IS_KINETIC,,boolean,0,0,0,"Selects kinetic or stationary adsorbance mode: 1 = kinetic, 0 = stationary",Kinetic Model
LIN_KA,1/s,double,1,0,1,A vector with adsorption rate constants in the linear binding model,KA
LIN_KD,1/s,double,1,0,1,A vector with desorption rate constants in the linear binding model,KD
MCL_KA,m^3/(mol s),double,1,0,1,A vector with adsorption rate constants in the multi component langmuir model,KA
MCL_KD,1/s,double,1,0,1,A vector with desorption rate constants in the multi component langmuir model,KD
MCL_QMAX,mol/m^3,double,1,0,1,A vector with maximum adsorption capacities in the multi component langmuir model,Qmax
MPM_KA,m^3/(mol s),double,1,0,1,A vector with adsorption rate constants in the mobile phase modulator model,KA
MPM_KDE,m^3/(mol s),double,1,0,1,A vector with desorption rate constants in the mobile phase modulator model,KDE
MPM_QMAX,mol/m^3,double,1,0,1,A vector with maximum adsorption capacities in the mobile phase modulator model,Qmax
MPM_BETA,,double,1,0,1,A vector with parameters describing the ion-exchange characteristics (IEX),Beta
MPM_GAMMA,m^3/mol,double,1,0,1,A vector with parameters describing the hydrophobicity (HIC),Gamma
EXTMPM_KA,m^3/(mol s),double,1,0,1,All vectors with adsorption rate constants in the external function mobile phase modulator model,KA
EXTMPM_KA_T,m^3/(mol s [T]),double,1,0,1,All vectors with adsorption rate constants in the external function mobile phase modulator model,KA Linear
EXTMPM_KA_TT,m^3/(mol s [T]^2),double,1,0,1,All vectors with adsorption rate constants in the external function mobile phase modulator model,KA Quadratic
EXTMPM_KA_TTT,m^3/(mol s [T]^3),double,1,0,1,All vectors with adsorption rate constants in the external function mobile phase modulator model,KA Cubic
EXTMPM_KD,m^3b/(mol^b s),double,1,0,1,All vectors with desorption rate constants in the external function mobile phase modulator model,KD
EXTMPM_KD_T,m^3b/(mol^b s [T]),double,1,0,1,All vectors with desorption rate constants in the external function mobile phase modulator model,KD Linear
EXTMPM_KD_TT,m^3b/(mol^b s [T]^2),double,1,0,1,All vectors with desorption rate constants in the external function mobile phase modulator model,KD Quadratic
EXTMPM_KD_TTT,m^3b/(mol^b s [T]^3),double,1,0,1,All vectors with desorption rate constants in the external function mobile phase modulator model,KD Cubic
EXTMPM_QMAX,mol/m^3,double,1,0,1,All vectors with maximum adsorption capacities in the external function mobile phase modulator model,Qmax
EXTMPM_QMAX_T,mol/(m^3 [T]),double,1,0,1,All vectors with maximum adsorption capacities in the external function mobile phase modulator model,Qmax Linear
EXTMPM_QMAX_TT,mol/(m^3 [T]^2),double,1,0,1,All vectors with maximum adsorption capacities in the external function mobile phase modulator model,Qmax Quadratic
EXTMPM_QMAX_TTT,mol/(m^3 [T]^3),double,1,0,1,All vectors with maximum adsorption capacities in the external function mobile phase modulator model,Qmax Cubic
EXTMPM_BETA,,double,1,0,1,All vectors with parameters describing the ion-exchange characteristics (IEX),Beta
EXTMPM_BETA_T,1/[T],double,1,0,1,All vectors with parameters describing the ion-exchange characteristics (IEX),Beta Linear
EXTMPM_BETA_TT,1/[T]^2,double,1,0,1,All vectors with parameters describing the ion-exchange characteristics (IEX),Beta Quadratic
EXTMPM_BETA_TTT,1/[T]^3,double,1,0,1,All vectors with parameters describing the ion-exchange characteristics (IEX),Beta Cubic
EXTMPM_GAMMA,m^3/(mol),double,1,0,1,All vectors with parameters describing the hydrophobicity (HIC),Gamma
EXTMPM_GAMMA_T,m^3/(mol [T]),double,1,0,1,All vectors with parameters describing the hydrophobicity (HIC),Gamma Linear
EXTMPM_GAMMA_TT,m^3/(mol [T]^2),double,1,0,1,All vectors with parameters describing the hydrophobicity (HIC),Gamma Quadratic
EXTMPM_GAMMA_TTT,m^3/(mol [T]^3),double,1,0,1,All vectors with parameters describing the hydrophobicity (HIC),Gamma Cubic
EXTL_KA,m^3/(mol s),double,1,0,1,All vectors with adsorption rate constant coefficients in the External Function Langmuir model,KA
EXTL_KA_T,m^3/(mol s [T]),double,1,0,1,All vectors with adsorption rate constant coefficients in the External Function Langmuir model,KA Linear
EXTL_KA_TT,m^3/(mol s [T]^2),double,1,0,1,All vectors with adsorption rate constant coefficients in the External Function Langmuir model,KA Quadratic
EXTL_KA_TTT,m^3/(mol s [T]^3),double,1,0,1,All vectors with adsorption rate constant coefficients in the External Function Langmuir model,KA Cubic
EXTL_KD,1/s,double,1,0,1,All vectors with desorption rate constant coefficients in the External Function Langmuir model,KD
EXTL_KD_T,1/(s [T]),double,1,0,1,All vectors with desorption rate constant coefficients in the External Function Langmuir model,KD Linear
EXTL_KD_TT,1/(s [T]^2),double,1,0,1,All vectors with desorption rate constant coefficients in the External Function Langmuir model,KD Quadratic
EXTL_KD_TTT,1/(s [T]^3),double,1,0,1,All vectors with desorption rate constant coefficients in the External Function Langmuir model,KD Cubic
EXTL_QMAX,mol/m^3,double,1,0,1,All vectors with maximum adsorption capacity coefficients in the External Function Langmuir model,Qmax
EXTL_QMAX_T,mol/(m^3 [T]),double,1,0,1,All vectors with maximum adsorption capacity coefficients in the External Function Langmuir model,Qmax Linear
EXTL_QMAX_TT,mol/(m^3 [T]^2),double,1,0,1,All vectors with maximum adsorption capacity coefficients in the External Function Langmuir model,Qmax Quadratic
EXTL_QMAX_TTT,mol/(m^3 [T]^3),double,1,0,1,All vectors with maximum adsorption capacity coefficients in the External Function Langmuir model,Qmax Cubic
SMA_LAMBDA,mol/m^3,double,0,0,1,Stationary phase capacity (monovalent salt counterions); The total number of binding sites available on the resin surface,Lambda
SMA_KA,,double,1,0,1,A vector with adsorption rate constants in the steric mass action model,KA
SMA_KD,,double,1,0,1,A vector with desorption rate constants in the steric mass action model,KD
SMA_NU,mol/m^3,double,1,0,1,A vector with characteristic charges of the protein; The number of sites ? that the protein interacts with on the resin surface,Nu
SMA_SIGMA,,double,1,0,1,A vector with steric factors of the protein; The number of sites ? on the surface that are shielded by the protein and prevented from exchange with the salt counterions in solution,Sigma
SAI_LAMBDA,,double,0,0,1,Stationary phase capacity (monovalent salt counterions); The total number of binding sites available on the resin surface,Lambda
SAI_KA1,,double,1,0,1,A vector with adsorption rate constants in the self association model,KA 1
SAI_KA2,,double,1,0,1,A vector with adsorption rate constants of dimerization in the self association model,KA 2
SAI_KD,,double,1,0,1,A vector with desorption rate constants in the self association model,KD
SAI_NU,,double,1,0,1,A vector with characteristic charges ? of the protein,Nu
SAI_SIGMA,,double,1,0,1,A vector with steric factors ? of the protein,Sigma
EXTSMA_KA,,double,1,0,1,All vectors with adsorption rate constants in the thermal steric mass action model,Ka
EXTSMA_KA_T,,double,1,0,1,All vectors with adsorption rate constants in the thermal steric mass action model,Ka Linear
EXTSMA_KA_TT,,double,1,0,1,All vectors with adsorption rate constants in the thermal steric mass action model,KA Quadratic
EXTSMA_KA_TTT,,double,1,0,1,All vectors with adsorption rate constants in the thermal steric mass action model,KA Cubic
EXTSMA_KD,,double,1,0,1,All vectors with desorption rate constant coefficients in the thermal steric mass action model,KD
EXTSMA_KD_T,,double,1,0,1,All vectors with desorption rate constant coefficients in the thermal steric mass action model,KD Linear
EXTSMA_KD_TT,,double,1,0,1,All vectors with desorption rate constant coefficients in the thermal steric mass action model,KD Quadratic
EXTSMA_KD_TTT,,double,1,0,1,All vectors with desorption rate constant coefficients in the thermal steric mass action model,KD Cubic
EXTSMA_NU,,double,1,0,1,All vectors with characteristic charges of the protein in the thermal steric mass action model,Nu
EXTSMA_NU_T,,double,1,0,1,All vectors with characteristic charges of the protein in the thermal steric mass action model,Nu Linear
EXTSMA_NU_TT,,double,1,0,1,All vectors with characteristic charges of the protein in the thermal steric mass action model,Nu Quadratic
EXTSMA_NU_TTT,,double,1,0,1,All vectors with characteristic charges of the protein in the thermal steric mass action model,Nu Cubic
EXTSMA_SIGMA,,double,1,0,1,All vectors with steric factors of the protein in the thermal steric mass action model,Sigma
EXTSMA_SIGMA_T,,double,1,0,1,All vectors with steric factors of the protein in the thermal steric mass action model,Sigma Linear
EXTSMA_SIGMA_TT,,double,1,0,1,All vectors with steric factors of the protein in the thermal steric mass action model,Sigma Quadratic
EXTSMA_SIGMA_TTT,,double,1,0,1,All vectors with steric factors of the protein in the thermal steric mass action model,Sigma Cubic
EXTSMA_LAMBDA,,double,0,0,1,Stationary phase capacity (monovalent salt counterions) in the thermal steric mass action model,Lambda
EXTSMA_LAMBDA_T,,double,0,0,1,Stationary phase capacity (monovalent salt counterions) in the thermal steric mass action model,Lambda Linear
EXTSMA_LAMBDA_TT,,double,0,0,1,Stationary phase capacity (monovalent salt counterions) in the thermal steric mass action model,Lambda Quadratic
EXTSMA_LAMBDA_TTT,,double,0,0,1,Stationary phase capacity (monovalent salt counterions) in the thermal steric mass action model,Lambda Cubic
NTHREADS,,int,0,0,0,Number of OpenMP threads to use for each simulation,Number of Threads
